x-axis,1,2,3
second,Volt,Ampere,Volt
-160.0E-06,+100.0000E-03,+3.7054E-03,-374.3720E-03
-150.0E-06,+100.0000E-03,+10.3973E-03,-374.3720E-03
-140.0E-06,+100.0000E-03,+21.7313E-03,-330.2812E-03
-130.0E-06,+138.3826E-03,+36.7744E-03,-374.3720E-03
-120.0E-06,+180.4020E-03,+54.7739E-03,-374.3720E-03
-110.0E-06,+180.4020E-03,+66.8342E-03,-374.3720E-03
-100.0E-06,+180.4020E-03,+82.9146E-03,+3.0427135E+00
-90.0E-06,+221.3678E-03,+98.9950E-03,+3.0427135E+00
-80.0E-06,+260.8040E-03,+114.1409E-03,-374.3720E-03
-70.0E-06,+260.8040E-03,+123.2184E-03,-374.3720E-03
-60.0E-06,+260.8040E-03,+140.3361E-03,-374.3720E-03
-50.0E-06,+341.2060E-03,+155.2764E-03,-374.3720E-03
-40.0E-06,+357.3128E-03,+170.5515E-03,-374.3720E-03
-30.0E-06,+421.6080E-03,+175.3769E-03,-374.3720E-03
-20.0E-06,+421.6080E-03,+172.6261E-03,-374.3720E-03
-10.0E-06,+421.6080E-03,+169.0502E-03,-374.3720E-03
+0.0E+00,-701.8004E-03,+178.0446E-03,+2.8755176E+00
+10.0E-06,+509.2327E-03,+184.1394E-03,+3.0427135E+00
+20.0E-06,+582.4121E-03,+195.4774E-03,-374.3720E-03
+30.0E-06,+582.4121E-03,+191.4573E-03,-374.3720E-03
+40.0E-06,+582.4121E-03,+191.4573E-03,-374.3720E-03
+50.0E-06,+662.8141E-03,+184.3977E-03,-374.3720E-03
+60.0E-06,+712.6640E-03,+199.4975E-03,-374.3720E-03
+70.0E-06,+743.2161E-03,+198.0423E-03,-374.3720E-03
+80.0E-06,+815.2607E-03,+195.4774E-03,-353.4786E-03
+90.0E-06,+823.6181E-03,+192.0767E-03,-374.3720E-03
+100.0E-06,+1.0126852E+00,+193.8206E-03,+3.0427135E+00
+110.0E-06,+904.0201E-03,+203.5176E-03,+3.0427135E+00
+120.0E-06,+909.7943E-03,+199.7862E-03,-374.3720E-03
+130.0E-06,+984.4221E-03,+202.7690E-03,-374.3720E-03
+140.0E-06,+984.4221E-03,+199.4975E-03,-374.3720E-03
+150.0E-06,+1.2563227E+00,+195.4774E-03,-374.3720E-03
+160.0E-06,+1.0616331E+00,+207.3781E-03,-374.3720E-03
+170.0E-06,+1.1276709E+00,+203.5176E-03,-374.3720E-03
+180.0E-06,+1.1452261E+00,+201.4126E-03,-374.3720E-03
+190.0E-06,+1.2042740E+00,+195.4774E-03,-374.3720E-03
+200.0E-06,+1.2171178E+00,+195.5382E-03,+3.0427135E+00
+210.0E-06,+1.2256281E+00,+203.5176E-03,+2.9923674E+00
+220.0E-06,+1.3060301E+00,+203.5176E-03,-275.5787E-03
+230.0E-06,+1.3060301E+00,+202.5791E-03,-374.3720E-03
+240.0E-06,+1.3844569E+00,+199.4975E-03,-374.3720E-03
+250.0E-06,+1.3864321E+00,+196.6135E-03,-374.3720E-03
+260.0E-06,+1.3864321E+00,+207.5377E-03,-374.3720E-03
+270.0E-06,+1.4668342E+00,+203.5176E-03,-374.3720E-03
+280.0E-06,+1.4668342E+00,+203.2897E-03,-362.9759E-03
+290.0E-06,+1.4668342E+00,+199.4975E-03,+637.8170E-03
+300.0E-06,+1.5472362E+00,+199.4975E-03,+3.0427135E+00
+310.0E-06,+1.5472362E+00,+207.5377E-03,+3.0427135E+00
+320.0E-06,+1.6276382E+00,+207.1806E-03,-374.3720E-03
+330.0E-06,+1.6276382E+00,+203.5176E-03,-374.3720E-03
+340.0E-06,+1.6762723E+00,+199.4975E-03,-374.3720E-03
+350.0E-06,+1.6970186E+00,+199.4975E-03,-374.3720E-03
+360.0E-06,+1.7884422E+00,+208.0239E-03,-374.3720E-03
+370.0E-06,+1.7884422E+00,+206.0141E-03,-374.3720E-03
