x-axis,1,2,3
second,Volt,Ampere,Volt
-1.1300E-03,+100.0000E-03,+4.2341E-03,-325.3770E-03
-1.1200E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.1100E-03,+167.1114E-03,+1.4950E-03,-325.3770E-03
-1.1000E-03,+100.0000E-03,+1.4950E-03,-507.7429E-03
-1.0900E-03,+100.0000E-03,+1.4950E-03,-455.8772E-03
-1.0800E-03,+100.0000E-03,+3.9424E-03,-447.7476E-03
-1.0700E-03,+100.0000E-03,+5.5151E-03,-499.6133E-03
-1.0600E-03,+110.0388E-03,+1.4950E-03,-325.3770E-03
-1.0500E-03,+149.6169E-03,+1.4950E-03,-325.3770E-03
-1.0400E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.0300E-03,+180.4020E-03,+1.9012E-03,-526.3820E-03
-1.0200E-03,+167.7800E-03,+4.8840E-03,-325.3770E-03
-1.0100E-03,+100.0000E-03,+3.1634E-03,-408.7977E-03
-1.0000E-03,+100.0000E-03,+2.8094E-03,-325.3770E-03
-990.0E-06,+180.4020E-03,+5.2380E-03,-325.3770E-03
-980.0E-06,+115.2051E-03,+4.7548E-03,-488.3692E-03
-970.0E-06,+100.0000E-03,+3.2925E-03,-325.3770E-03
-960.0E-06,+156.6977E-03,+2.6802E-03,-325.3770E-03
-950.0E-06,+100.0000E-03,+1.4950E-03,-518.9870E-03
-940.0E-06,+117.7883E-03,+2.3844E-03,-481.9113E-03
-930.0E-06,+100.0000E-03,+3.4217E-03,-325.3770E-03
-920.0E-06,+159.2809E-03,+2.5510E-03,-325.3770E-03
-910.0E-06,+100.0000E-03,+5.5151E-03,-525.4449E-03
-900.0E-06,+120.3714E-03,+4.4965E-03,-325.3770E-03
-890.0E-06,+141.1177E-03,+5.5151E-03,-325.3770E-03
-880.0E-06,+100.0000E-03,+1.4950E-03,-371.7220E-03
-870.0E-06,+100.0000E-03,+5.4047E-03,-520.8613E-03
-860.0E-06,+157.4474E-03,+2.6427E-03,-468.9956E-03
-850.0E-06,+100.0000E-03,+3.6800E-03,-434.6292E-03
-840.0E-06,+100.0000E-03,+2.2927E-03,-365.2641E-03
-830.0E-06,+100.0000E-03,+5.2755E-03,-325.3770E-03
-820.0E-06,+154.8643E-03,+1.4950E-03,-325.3770E-03
-810.0E-06,+100.0000E-03,+5.5151E-03,-441.0871E-03
-800.0E-06,+100.0000E-03,+1.4950E-03,-492.9528E-03
-790.0E-06,+173.0274E-03,+1.4950E-03,-325.3770E-03
-780.0E-06,+128.1209E-03,+4.1090E-03,-325.3770E-03
-770.0E-06,+100.0000E-03,+3.0717E-03,-325.3770E-03
-760.0E-06,+100.0000E-03,+1.4950E-03,-526.3820E-03
-750.0E-06,+100.0000E-03,+5.5151E-03,-350.2714E-03
-740.0E-06,+100.0000E-03,+5.5151E-03,-526.3820E-03
-730.0E-06,+180.4020E-03,+4.0675E-03,-325.3770E-03
-720.0E-06,+172.1966E-03,+1.4950E-03,-505.8686E-03
-710.0E-06,+100.0000E-03,+5.5151E-03,-325.3770E-03
-700.0E-06,+180.4020E-03,+3.1593E-03,-325.3770E-03
-690.0E-06,+100.0000E-03,+2.8134E-03,-460.4608E-03
-680.0E-06,+100.0000E-03,+5.2340E-03,-325.3770E-03
-670.0E-06,+100.0000E-03,+4.7589E-03,-526.3820E-03
-660.0E-06,+100.0000E-03,+5.5151E-03,-325.3770E-03
-650.0E-06,+156.6167E-03,+1.4950E-03,-325.3770E-03
-640.0E-06,+100.0000E-03,+1.6469E-03,-325.3770E-03
-630.0E-06,+162.6948E-03,+1.4950E-03,-369.6451E-03
-620.0E-06,+100.0000E-03,+3.4177E-03,-526.3820E-03
-610.0E-06,+100.0000E-03,+2.5551E-03,-325.3770E-03
-600.0E-06,+100.0000E-03,+5.5151E-03,-325.3770E-03
-590.0E-06,+100.0000E-03,+1.4950E-03,-526.3820E-03
-580.0E-06,+139.3653E-03,+3.4632E-03,-423.7903E-03
-570.0E-06,+100.0000E-03,+1.4950E-03,-479.8344E-03
-560.0E-06,+178.2748E-03,+1.4950E-03,-521.0639E-03
-550.0E-06,+157.5285E-03,+4.3714E-03,-325.3770E-03
-540.0E-06,+100.0000E-03,+3.6760E-03,-434.4266E-03
-530.0E-06,+164.3661E-03,+4.7133E-03,-325.3770E-03
-520.0E-06,+100.0000E-03,+5.2796E-03,-337.1530E-03
-510.0E-06,+154.9453E-03,+5.5151E-03,+3.0280667E+00
-500.0E-06,+100.0000E-03,+1.4950E-03,+3.0062109E+00
-490.0E-06,+100.0000E-03,+21.5955E-03,-325.3770E-03
-480.0E-06,+180.4020E-03,+37.3112E-03,-508.1481E-03
-470.0E-06,+180.4020E-03,+53.7563E-03,-395.4766E-03
-460.0E-06,+180.4020E-03,+65.8166E-03,-325.3770E-03
-450.0E-06,+180.4020E-03,+81.8970E-03,-325.3770E-03
-440.0E-06,+180.4020E-03,+97.4836E-03,-526.3820E-03
-430.0E-06,+260.8040E-03,+110.0377E-03,-325.3770E-03
-420.0E-06,+260.8040E-03,+126.1181E-03,-325.3770E-03
-410.0E-06,+260.8040E-03,+138.5927E-03,+2.9114195E+00
-400.0E-06,+341.2060E-03,+154.2588E-03,+2.8907034E+00
-390.0E-06,+341.2060E-03,+170.3392E-03,-325.3770E-03
-380.0E-06,+421.6080E-03,+181.0770E-03,-391.5009E-03
-370.0E-06,+421.6080E-03,+198.1947E-03,-339.6352E-03
-360.0E-06,+502.0100E-03,+210.5402E-03,-325.3770E-03
-350.0E-06,+546.6227E-03,+222.6005E-03,-414.8503E-03
-340.0E-06,+582.4121E-03,+238.6809E-03,-325.3770E-03
-330.0E-06,+659.6940E-03,+250.7412E-03,-333.1773E-03
-320.0E-06,+662.8141E-03,+265.9403E-03,-325.3770E-03
-310.0E-06,+743.2161E-03,+268.7402E-03,+2.9957773E+00
-300.0E-06,+823.6181E-03,+266.8216E-03,-473.1739E-03
-290.0E-06,+823.6181E-03,+262.8015E-03,-326.7194E-03
-280.0E-06,+904.0201E-03,+261.7910E-03,-325.3770E-03
-270.0E-06,+904.0201E-03,+258.7814E-03,-423.9930E-03
-260.0E-06,+984.4221E-03,+257.8464E-03,-325.3770E-03
-250.0E-06,+1.0627779E+00,+254.7613E-03,-330.4925E-03
-240.0E-06,+1.0648241E+00,+250.7412E-03,-469.4008E-03
-230.0E-06,+1.1452261E+00,+250.7412E-03,-434.2240E-03
-220.0E-06,+1.1452261E+00,+250.7412E-03,-365.6694E-03
-210.0E-06,+1.2256281E+00,+250.7412E-03,+3.0801351E+00
-200.0E-06,+1.2256281E+00,+242.7010E-03,-325.3770E-03
-190.0E-06,+1.2717501E+00,+242.7010E-03,-411.0772E-03
-180.0E-06,+1.3060301E+00,+242.0243E-03,-492.5476E-03
-170.0E-06,+1.3864321E+00,+238.6809E-03,-526.3820E-03
-160.0E-06,+1.3864321E+00,+237.4567E-03,-526.3820E-03
-150.0E-06,+1.4668342E+00,+236.2457E-03,-325.3770E-03
-140.0E-06,+1.4668342E+00,+234.1133E-03,-325.3770E-03
-130.0E-06,+1.5472362E+00,+231.1305E-03,-325.3770E-03
-120.0E-06,+1.5472362E+00,+228.1477E-03,-325.3770E-03
-110.0E-06,+1.5763499E+00,+226.6206E-03,+2.9634878E+00
-100.0E-06,+1.6276382E+00,+223.0189E-03,+3.0917085E+00
-90.0E-06,+1.7080402E+00,+219.1993E-03,-325.3770E-03
-80.0E-06,+1.7080402E+00,+220.9442E-03,-443.5693E-03
-70.0E-06,+1.7619116E+00,+218.5804E-03,-325.3770E-03
-60.0E-06,+1.7884422E+00,+214.8495E-03,-511.9212E-03
-50.0E-06,+1.8538822E+00,+210.5402E-03,-526.3820E-03
-40.0E-06,+1.8688442E+00,+214.5603E-03,-526.3820E-03
-30.0E-06,+1.8927917E+00,+207.7175E-03,-325.3770E-03
-20.0E-06,+1.9492462E+00,+206.3600E-03,-325.3770E-03
-10.0E-06,+1.9492462E+00,+202.5000E-03,+2.9345662E+00
+0.0E+00,+2.0296482E+00,+202.5000E-03,+1.4643231E+00
+10.0E-06,+2.0296482E+00,+213.4921E-03,-325.3770E-03
+20.0E-06,+2.1100502E+00,+210.5093E-03,-325.3770E-03
+30.0E-06,+2.1100502E+00,+206.5201E-03,-526.3820E-03
+40.0E-06,+2.1100502E+00,+206.5201E-03,-325.3770E-03
+50.0E-06,+2.1716711E+00,+199.4190E-03,-325.3770E-03
+60.0E-06,+2.1904522E+00,+214.5603E-03,-325.3770E-03
